,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Drew Brees,NOR,QB,440,652,67.5,4423,28,4.3,18,2.8,233,6.8,6.4,10.1,276.4,89.4,16,109,6.46,6.08,2.4,1,1
1,Tom Brady,NWE,QB,398,578,68.9,4806,50,8.7,8,1.4,240,8.3,9.4,12.1,300.4,117.2,21,128,7.81,8.88,3.5,4,4
2,Carson Palmer,CIN,QB,373,575,64.9,4131,26,4.5,20,3.5,213,7.2,6.5,11.1,258.2,86.7,17,119,6.78,6.14,2.9,2,2
3,Matt Hasselbeck,SEA,QB,352,562,62.6,3966,28,5.0,12,2.1,204,7.1,7.1,11.3,247.9,91.4,33,204,6.32,6.36,5.5,2,2
4,Jon Kitna,DET,QB,355,561,63.3,4068,18,3.2,20,3.6,198,7.3,6.3,11.5,254.3,80.9,51,320,6.12,5.24,8.3,2,3
5,Brett Favre,GNB,QB,356,535,66.5,4155,28,5.2,15,2.8,198,7.8,7.6,11.7,259.7,95.7,15,93,7.39,7.18,2.7,2,4
6,Eli Manning,NYG,QB,297,529,56.1,3336,23,4.3,20,3.8,167,6.3,5.5,11.2,208.5,73.9,27,217,5.61,4.82,4.9,3,3
7,Derek Anderson,CLE,QB,298,527,56.5,3787,29,5.5,19,3.6,185,7.2,6.7,12.7,236.7,82.5,14,109,6.80,6.29,2.6,2,2
8,Tony Romo,DAL,QB,335,520,64.4,4211,36,6.9,19,3.7,216,8.1,7.8,12.6,263.2,97.4,24,176,7.42,7.17,4.4,2,2
9,Peyton Manning,IND,QB,337,515,65.4,4040,31,6.0,14,2.7,207,7.8,7.8,12.0,252.5,98.0,21,124,7.31,7.29,3.9,1,2
10,Donovan McNabb,PHI,QB,291,473,61.5,3324,19,4.0,7,1.5,154,7.0,7.2,11.4,237.4,89.9,44,227,5.99,6.12,8.5,1,1
11,Jay Cutler,DEN,QB,297,467,63.6,3497,20,4.3,14,3.0,174,7.5,7.0,11.8,218.6,88.1,27,153,6.77,6.30,5.5,2,3
12,Philip Rivers,SDG,QB,277,460,60.2,3152,21,4.6,15,3.3,157,6.9,6.3,11.4,197.0,82.4,22,163,6.20,5.67,4.6,1,1
13,Kurt Warner,ARI,QB,281,451,62.3,3417,27,6.0,17,3.8,169,7.6,7.1,12.2,244.1,89.8,20,140,6.96,6.48,4.2,1,1
14,Jason Campbell,WAS,QB,250,417,60.0,2700,12,2.9,11,2.6,148,6.5,5.9,10.8,207.7,77.6,21,110,5.91,5.33,4.8,1,2
15,Ben Roethlisberger,PIT,QB,264,404,65.3,3154,32,7.9,11,2.7,167,7.8,8.2,11.9,210.3,104.1,47,347,6.22,6.55,10.4,1,2
16,Vince Young,TEN,QB,238,382,62.3,2546,9,2.4,17,4.5,143,6.7,5.1,10.7,169.7,71.1,25,157,5.87,4.43,6.1,,
17,Marc Bulger,STL,QB,221,378,58.5,2392,11,2.9,15,4.0,130,6.3,5.1,10.8,199.3,70.3,37,269,5.12,4.02,8.9,,
18,Joey Harrington,ATL,QB,215,348,61.8,2215,7,2.0,8,2.3,101,6.4,5.7,10.3,184.6,77.2,32,192,5.32,4.74,8.4,0,1
